"Component.x","Component.y","Size.x","Size.y","count"
"11","10",1,1,1
"11","9",1,1,1
"13","11",1,1,1
"13","12",1,1,1
"14","13",1,1,1
"15","8",1,20,1
"16","1",1,1,1
"16","2",1,1,1
"16","3",1,1,1
"16","4",1,1,1
"16","5",1,1,1
"16","6",1,1,1
"16","8",1,20,15
"17","11",1,1,1
"17","8",1,20,1
"2","1",1,1,1
"3","1",1,1,1
"3","2",1,1,1
"4","1",1,1,1
"4","2",1,1,1
"4","3",1,1,1
"5","1",1,1,1
"5","2",1,1,1
"5","3",1,1,1
"5","4",1,1,1
"8","1",20,1,16
"8","2",20,1,15
"8","3",20,1,15
"8","4",20,1,12
"8","5",20,1,16
"8","6",20,1,11
"8","7",20,1,1
"8","8",20,20,118
